month_year,sex,referrals,people,proportion,year,population,ref_rate,ref_rate_1000
2017-02-01,M,136,135,0.5291828793774319,2017,50849,0.002674585537572027,2.674585537572027
2017-03-01,F,148,147,0.44984802431610943,2017,48192,0.0030710491367861885,3.0710491367861885
2017-03-01,M,181,178,0.5501519756838906,2017,50849,0.0035595586933863006,3.559558693386301
2017-04-01,F,95,95,0.42410714285714285,2017,48192,0.001971281540504648,1.971281540504648
2017-04-01,M,129,124,0.5758928571428571,2017,50849,0.0025369230466675842,2.5369230466675843
2017-05-01,F,132,131,0.4444444444444444,2017,48192,0.0027390438247011954,2.7390438247011955
2017-05-01,M,165,164,0.5555555555555556,2017,50849,0.0032449015713190035,3.2449015713190037
2017-06-01,F,127,124,0.4703703703703704,2017,48192,0.0026352921646746346,2.6352921646746346
2017-06-01,M,143,143,0.5296296296296297,2017,50849,0.0028122480284764697,2.81224802847647
2017-07-01,F,91,90,0.4482758620689655,2017,48192,0.0018882802124833998,1.8882802124833997
2017-07-01,M,112,111,0.5517241379310345,2017,50849,0.002202599854471081,2.202599854471081
2017-08-01,F,99,98,0.4852941176470588,2017,48192,0.0020542828685258963,2.0542828685258963
2017-08-01,M,105,102,0.5147058823529411,2017,50849,0.0020649373635666384,2.064937363566638
2017-09-01,F,117,117,0.48148148148148145,2017,48192,0.002427788844621514,2.427788844621514
2017-09-01,M,126,125,0.5185185185185185,2017,50849,0.002477924836279966,2.477924836279966
2017-10-01,F,123,122,0.467680608365019,2017,48192,0.0025522908366533864,2.5522908366533863
2017-10-01,M,140,137,0.532319391634981,2017,50849,0.002753249818088851,2.753249818088851
2017-11-01,F,140,139,0.4682274247491639,2017,48192,0.002905046480743692,2.905046480743692
2017-11-01,M,159,159,0.5317725752508361,2017,50849,0.003126905150543767,3.1269051505437666
2017-12-01,F,120,119,0.49586776859504134,2017,48192,0.00249003984063745,2.49003984063745
2017-12-01,M,122,122,0.5041322314049587,2017,50849,0.002399260555763142,2.399260555763142
2018-01-01,F,144,143,0.5517241379310345,2018,48446,0.002972381620773645,2.972381620773645
2018-01-01,M,117,116,0.4482758620689655,2018,50991,0.002294522562805201,2.2945225628052013
2018-02-01,F,130,128,0.4659498207885305,2018,48446,0.0026834000743095406,2.6834000743095405
2018-02-01,M,149,145,0.5340501792114696,2018,50991,0.002922084289384401,2.9220842893844012
2018-03-01,F,154,152,0.49044585987261147,2018,48446,0.003178797011105148,3.1787970111051482
2018-03-01,M,160,159,0.5095541401273885,2018,50991,0.0031378086328960014,3.1378086328960015
2018-04-01,F,122,121,0.46923076923076923,2018,48446,0.002518267762044338,2.518267762044338
2018-04-01,M,138,137,0.5307692307692308,2018,50991,0.0027063599458728013,2.7063599458728014
2018-05-01,F,131,130,0.45964912280701753,2018,48446,0.0027040416133426908,2.704041613342691
2018-05-01,M,154,153,0.5403508771929825,2018,50991,0.0030201408091624013,3.020140809162401
2018-06-01,F,157,152,0.48307692307692307,2018,48446,0.003240721628204599,3.2407216282045987
2018-06-01,M,168,166,0.5169230769230769,2018,50991,0.0032946990645408014,3.2946990645408016
2018-07-01,F,95,92,0.46798029556650245,2018,48446,0.00196094620814928,1.96094620814928
2018-07-01,M,108,108,0.5320197044334976,2018,50991,0.0021180208272048007,2.1180208272048007
2018-08-01,F,86,85,0.4387755102040816,2018,48446,0.0017751723568509268,1.7751723568509268
2018-08-01,M,110,109,0.5612244897959183,2018,50991,0.002157243435116001,2.1572434351160013
2018-09-01,F,120,120,0.5,2018,48446,0.0024769846839780376,2.4769846839780376
2018-09-01,M,120,118,0.5,2018,50991,0.002353356474672001,2.353356474672001
2018-10-01,F,153,150,0.49514563106796117,2018,48446,0.0031581554720719975,3.1581554720719978
2018-10-01,M,156,155,0.5048543689320388,2018,50991,0.003059363417073601,3.0593634170736013
2018-11-01,F,143,141,0.4831081081081081,2018,48446,0.0029517400817404946,2.9517400817404944
2018-11-01,M,153,151,0.5168918918918919,2018,50991,0.0030005295052068013,3.0005295052068015
2018-12-01,F,146,144,0.49158249158249157,2018,48446,0.0030136646988399456,3.013664698839946
2018-12-01,M,151,151,0.5084175084175084,2018,50991,0.002961306897295601,2.961306897295601
2019-01-01,F,131,129,0.4833948339483395,2019,48824,0.0026831066688513846,2.6831066688513845
2019-01-01,M,140,137,0.5166051660516605,2019,51406,0.002723417499902735,2.723417499902735
2019-02-01,F,147,147,0.4966216216216216,2019,48824,0.003010814353596592,3.010814353596592
2019-02-01,M,149,144,0.5033783783783784,2019,51406,0.002898494339182197,2.898494339182197
2019-03-01,F,146,145,0.4634920634920635,2019,48824,0.0029903326233000163,2.9903326233000165
2019-03-01,M,169,168,0.5365079365079365,2019,51406,0.0032875539820254444,3.2875539820254445
2019-04-01,F,123,123,0.48616600790513836,2019,48824,0.002519252826478781,2.519252826478781
2019-04-01,M,130,127,0.5138339920948617,2019,51406,0.002528887678481111,2.5288876784811114
2019-05-01,F,150,148,0.48231511254019294,2019,48824,0.0030722595444863184,3.0722595444863185
2019-05-01,M,161,159,0.5176848874598071,2019,51406,0.003131930124888145,3.1319301248881453
2019-06-01,F,139,137,0.5265151515151515,2019,48824,0.002846960511223988,2.846960511223988
2019-06-01,M,125,122,0.4734848484848485,2019,51406,0.002431622767770299,2.4316227677702993
2019-07-01,F,104,102,0.4444444444444444,2019,48824,0.002130099950843847,2.130099950843847
2019-07-01,M,130,128,0.5555555555555556,2019,51406,0.002528887678481111,2.5288876784811114
2019-08-01,F,114,114,0.5229357798165137,2019,48824,0.002334917253809602,2.334917253809602
2019-08-01,M,104,103,0.47706422018348627,2019,51406,0.002023110142784889,2.0231101427848888
2019-09-01,F,148,148,0.5342960288808665,2019,48824,0.0030312960838931673,3.0312960838931673
2019-09-01,M,129,129,0.4657039711191336,2019,51406,0.002509434696338949,2.509434696338949
2019-10-01,F,122,122,0.4728682170542636,2019,48824,0.0024987710961822053,2.4987710961822054
2019-10-01,M,136,133,0.5271317829457365,2019,51406,0.0026456055713340856,2.6456055713340856
2019-11-01,F,183,181,0.5613496932515337,2019,48824,0.003748156644273308,3.7481566442733083
2019-11-01,M,143,143,0.4386503067484663,2019,51406,0.0027817764463292224,2.7817764463292223
2019-12-01,F,147,145,0.4803921568627451,2019,48824,0.003010814353596592,3.010814353596592
2019-12-01,M,159,159,0.5196078431372549,2019,51406,0.0030930241606038204,3.0930241606038202
2020-01-01,F,158,157,0.5047923322683706,2020,49168,0.0032134721770257077,3.2134721770257078
2020-01-01,M,155,155,0.4952076677316294,2020,51700,0.002998065764023211,2.998065764023211
2020-02-01,F,151,149,0.5431654676258992,2020,49168,0.003071103156524569,3.0711031565245688
2020-02-01,M,127,126,0.4568345323741007,2020,51700,0.0024564796905222437,2.4564796905222437
2020-03-01,F,146,144,0.6008230452674898,2020,49168,0.0029694109990237552,2.969410999023755
2020-03-01,M,97,96,0.3991769547325103,2020,51700,0.0018762088974854931,1.8762088974854931
2020-04-01,F,29,29,0.4915254237288136,2020,49168,5.898145135047185e-4,0.5898145135047185
2020-04-01,M,30,30,0.5084745762711864,2020,51700,5.802707930367504e-4,0.5802707930367504
2020-05-01,F,62,62,0.5210084033613446,2020,49168,0.0012609827530100878,1.2609827530100879
2020-05-01,M,57,57,0.4789915966386555,2020,51700,0.001102514506769826,1.1025145067698259
2020-06-01,F,115,114,0.5324074074074074,2020,49168,0.0023389196225187116,2.3389196225187114
2020-06-01,M,101,100,0.4675925925925926,2020,51700,0.00195357833655706,1.95357833655706
2020-07-01,F,106,104,0.5170731707317073,2020,49168,0.002155873739017247,2.155873739017247
2020-07-01,M,99,99,0.48292682926829267,2020,51700,0.0019148936170212765,1.9148936170212765
2020-08-01,F,136,135,0.6044444444444445,2020,49168,0.0027660266840221284,2.7660266840221284
2020-08-01,M,89,89,0.39555555555555555,2020,51700,0.0017214700193423599,1.7214700193423598
2020-09-01,F,204,203,0.5698324022346368,2020,49168,0.004149040026033193,4.149040026033193
2020-09-01,M,154,154,0.4301675977653631,2020,51700,0.0029787234042553193,2.9787234042553195
2020-10-01,F,192,187,0.6193548387096774,2020,49168,0.0039049788480312398,3.9049788480312397
2020-10-01,M,118,116,0.38064516129032255,2020,51700,0.0022823984526112186,2.2823984526112184
2020-11-01,F,201,195,0.5403225806451613,2020,49168,0.004088024731532704,4.0880247315327045
2020-11-01,M,171,168,0.4596774193548387,2020,51700,0.003307543520309478,3.3075435203094776
2020-12-01,F,191,189,0.5520231213872833,2020,49168,0.003884640416531077,3.884640416531077
2020-12-01,M,155,151,0.4479768786127168,2020,51700,0.002998065764023211,2.998065764023211
2021-01-01,F,106,105,0.4774774774774775,2021,49168,0.002155873739017247,2.155873739017247
2021-01-01,M,116,112,0.5225225225225225,2021,51700,0.002243713733075435,2.243713733075435
2021-02-01,F,142,140,0.5440613026819924,2021,49168,0.0028880572730231044,2.8880572730231044
2021-02-01,M,119,116,0.4559386973180077,2021,51700,0.00230174081237911,2.3017408123791103
2021-03-01,F,175,172,0.5681818181818182,2021,49168,0.0035592255125284737,3.5592255125284735
2021-03-01,M,133,129,0.4318181818181818,2021,51700,0.002572533849129594,2.572533849129594
2021-04-01,F,198,192,0.6073619631901841,2021,49168,0.004027009437032216,4.027009437032215
2021-04-01,M,128,126,0.39263803680981596,2021,51700,0.0024758220502901353,2.475822050290135
2021-05-01,F,241,236,0.6040100250626567,2021,49168,0.004901561991539212,4.901561991539213
2021-05-01,M,158,154,0.39598997493734334,2021,51700,0.003056092843326886,3.056092843326886
2021-06-01,F,202,197,0.5444743935309974,2021,49168,0.004108363163032867,4.108363163032867
2021-06-01,M,169,165,0.4555256064690027,2021,51700,0.0032688588007736942,3.2688588007736943
2021-07-01,F,124,123,0.5610859728506787,2021,49168,0.0025219655060201756,2.5219655060201758
2021-07-01,M,97,97,0.43891402714932126,2021,51700,0.0018762088974854931,1.8762088974854931
2021-08-01,F,139,136,0.5325670498084292,2021,49168,0.0028270419785226164,2.8270419785226166
2021-08-01,M,122,119,0.4674329501915709,2021,51700,0.0023597678916827854,2.3597678916827856
2021-09-01,F,201,200,0.6054216867469879,2021,49168,0.004088024731532704,4.0880247315327045
2021-09-01,M,131,128,0.39457831325301207,2021,51700,0.0025338491295938104,2.5338491295938104
2021-10-01,F,131,130,0.5346938775510204,2021,49168,0.002664334526521315,2.6643345265213147
2021-10-01,M,114,112,0.46530612244897956,2021,51700,0.002205029013539652,2.2050290135396517
