sex,month_year,prescriptions,people,prop_prescriptions,prop_people,year,population,rate,rate_1000
M,2018-06-01,1844,1105,0.7381905524419535,0.7147477360931436,2018,50991,0.03616324449412642,36.16324449412642
M,2018-07-01,1383,834,0.732521186440678,0.7171109200343938,2018,50991,0.02712243337059481,27.12243337059481
M,2018-08-01,2235,1190,0.7256493506493507,0.7112970711297071,2018,50991,0.043831264340766014,43.83126434076601
M,2018-09-01,1832,1093,0.7417004048582996,0.7195523370638578,2018,50991,0.035927908846659216,35.927908846659214
M,2018-10-01,2016,1108,0.7309644670050761,0.7148387096774194,2018,50991,0.03953638877448962,39.536388774489616
M,2018-11-01,1997,1161,0.7155141526334647,0.7066342057212416,2018,50991,0.03916377399933321,39.16377399933321
M,2018-12-01,1959,1121,0.7440182301557159,0.7213642213642214,2018,50991,0.03841854444902042,38.418544449020416
M,2019-01-01,2023,1218,0.7453942520265291,0.7328519855595668,2019,51406,0.03935338287359452,39.35338287359452
M,2019-02-01,1889,1154,0.73302289483896,0.7190031152647975,2019,51406,0.03674668326654476,36.746683266544764
M,2019-03-01,1753,1051,0.7384161752316765,0.7208504801097394,2019,51406,0.034101077695210674,34.10107769521068
M,2019-04-01,1753,1051,0.7384161752316765,0.7208504801097394,2019,51406,0.034101077695210674,34.10107769521068
M,2019-05-01,2439,1321,0.7411121239744758,0.7113624124932687,2019,51406,0.04744582344473408,47.44582344473408
M,2019-06-01,1963,1165,0.7289268473821018,0.7209158415841584,2019,51406,0.03818620394506478,38.186203945064776
M,2019-07-01,1801,1069,0.7212655186223468,0.702827087442472,2019,51406,0.03503482083803447,35.03482083803447
M,2019-08-01,1542,966,0.7349857006673022,0.7268623024830699,2019,51406,0.02999649846321441,29.99649846321441
M,2019-09-01,1581,986,0.7258953168044077,0.7186588921282799,2019,51406,0.030755164766758745,30.755164766758746
M,2019-10-01,1581,957,0.7268965517241379,0.7125837676842889,2019,51406,0.030755164766758745,30.755164766758746
M,2019-11-01,1607,1003,0.7388505747126437,0.7215827338129497,2019,51406,0.031260942302454964,31.260942302454964
M,2019-12-01,1594,989,0.7135183527305282,0.699929228591649,2019,51406,0.031008053534606856,31.008053534606855
M,2020-01-01,1700,1053,0.7352941176470589,0.714867617107943,2020,51700,0.03288201160541586,32.88201160541586
M,2020-02-01,1498,972,0.7153772683858644,0.702819956616052,2020,51700,0.02897485493230174,28.974854932301742
M,2020-03-01,1949,1124,0.7272388059701492,0.7029393370856786,2020,51700,0.03769825918762089,37.69825918762089
M,2020-04-01,1284,844,0.682615629984051,0.6817447495961227,2020,51700,0.02483558994197292,24.83558994197292
M,2020-05-01,1326,845,0.7027027027027027,0.690359477124183,2020,51700,0.02564796905222437,25.64796905222437
M,2020-06-01,1492,900,0.7067740407389863,0.6923076923076923,2020,51700,0.02885880077369439,28.85880077369439
M,2020-07-01,1425,882,0.6954612005856515,0.6885245901639344,2020,51700,0.02756286266924565,27.56286266924565
M,2020-08-01,1634,1015,0.7210944395410415,0.7063326374391092,2020,51700,0.03160541586073501,31.605415860735008
M,2020-09-01,2060,1186,0.7294617563739377,0.7072152653548003,2020,51700,0.039845261121856865,39.845261121856865
M,2020-10-01,2089,1194,0.7188575361321404,0.6970227670753065,2020,51700,0.040406189555125725,40.40618955512573
M,2020-11-01,1816,1129,0.7066147859922179,0.6973440395305744,2020,51700,0.035125725338491294,35.12572533849129
M,2020-12-01,1816,1129,0.7066147859922179,0.6973440395305744,2020,51700,0.035125725338491294,35.12572533849129
M,2021-01-01,2299,1312,0.6893553223388306,0.6887139107611548,2021,51700,0.044468085106382976,44.46808510638298
M,2021-02-01,1762,1088,0.6909803921568628,0.675356921166977,2021,51700,0.034081237911025145,34.08123791102514
M,2021-03-01,2671,1442,0.7092405735528412,0.6936026936026936,2021,51700,0.05166344294003868,51.663442940038685
M,2021-04-01,2332,1327,0.7122785583384239,0.6915059927045336,2021,51700,0.0451063829787234,45.1063829787234
M,2021-05-01,1947,1205,0.6961029674651412,0.6917336394948336,2021,51700,0.03765957446808511,37.659574468085104
