year,simd2020_decile,total,people,pop,total_pop,proportion_pop,pop_rate,pop_rate_100,person_rate,person_rate_100,overall_rate,overall_rate_100,area
2019,9,459,430,16284,100230,0.1624663274468722,0.028187177597641857,2.8187177597641857,0.02640628838123311,2.640628838123311,0.03321360869999002,3.3213608699990025,NHS Grampian
2019,10,332,305,14784,100230,0.1475007482789584,0.022456709956709956,2.2456709956709955,0.020630411255411256,2.0630411255411256,0.03321360869999002,3.3213608699990025,NHS Grampian
2020,1,42,38,1349,100868,0.01337391442281001,0.031134173461823574,3.1134173461823575,0.028169014084507043,2.8169014084507045,0.030178054487052384,3.0178054487052384,NHS Grampian
2020,2,195,175,4413,100868,0.04375024784867351,0.04418762746430999,4.418762746431,0.03965556310899615,3.965556310899615,0.030178054487052384,3.0178054487052384,NHS Grampian
2020,3,238,220,6077,100868,0.06024705555775865,0.03916406121441501,3.9164061214415007,0.036202073391476054,3.6202073391476053,0.030178054487052384,3.0178054487052384,NHS Grampian
2020,4,308,275,8183,100868,0.08112582781456953,0.037639007698887936,3.7639007698887936,0.03360625687400709,3.360625687400709,0.030178054487052384,3.0178054487052384,NHS Grampian
2020,5,272,249,7991,100868,0.07922235000198279,0.03403829307971468,3.403829307971468,0.031160055061944688,3.116005506194469,0.030178054487052384,3.0178054487052384,NHS Grampian
2020,6,353,317,11329,100868,0.11231510488955863,0.0311589725483273,3.11589725483273,0.027981286962662194,2.7981286962662195,0.030178054487052384,3.0178054487052384,NHS Grampian
2020,7,404,358,12345,100868,0.1223876749811635,0.032725799918995546,3.272579991899555,0.028999594977723774,2.8999594977723775,0.030178054487052384,3.0178054487052384,NHS Grampian
2020,8,471,431,17758,100868,0.176051869770393,0.02652325712354995,2.652325712354995,0.02427075121072193,2.427075121072193,0.030178054487052384,3.0178054487052384,NHS Grampian
2020,9,429,394,16596,100868,0.16453186342546694,0.025849602313810557,2.584960231381056,0.023740660400096408,2.374066040009641,0.030178054487052384,3.0178054487052384,NHS Grampian
2020,10,332,306,14827,100868,0.14699409128762342,0.022391582923045796,2.2391582923045794,0.02063802522425305,2.063802522425305,0.030178054487052384,3.0178054487052384,NHS Grampian
2021,1,57,49,1349,100868,0.01337391442281001,0.04225352112676056,4.225352112676056,0.0363232023721275,3.6323202372127503,0.0292064876868779,2.92064876868779,NHS Grampian
2021,2,166,146,4413,100868,0.04375024784867351,0.03761613414910492,3.761613414910492,0.033084069793791075,3.3084069793791073,0.0292064876868779,2.92064876868779,NHS Grampian
2021,3,254,220,6077,100868,0.06024705555775865,0.04179693927924963,4.179693927924963,0.036202073391476054,3.6202073391476053,0.0292064876868779,2.92064876868779,NHS Grampian
2021,4,288,259,8183,100868,0.08112582781456953,0.03519491628986924,3.519491628986924,0.03165098374679213,3.165098374679213,0.0292064876868779,2.92064876868779,NHS Grampian
2021,5,291,251,7991,100868,0.07922235000198279,0.036415967963959454,3.6415967963959455,0.0314103366287073,3.14103366287073,0.0292064876868779,2.92064876868779,NHS Grampian
2021,6,330,300,11329,100868,0.11231510488955863,0.029128784535263484,2.9128784535263486,0.026480713213875892,2.6480713213875893,0.0292064876868779,2.92064876868779,NHS Grampian
2021,7,355,308,12345,100868,0.1223876749811635,0.02875658161198866,2.8756581611988663,0.02494937221547185,2.494937221547185,0.0292064876868779,2.92064876868779,NHS Grampian
2021,8,473,416,17758,100868,0.176051869770393,0.02663588241919135,2.6635882419191352,0.02342606149341142,2.342606149341142,0.0292064876868779,2.92064876868779,NHS Grampian
2021,9,405,369,16596,100868,0.16453186342546694,0.02440347071583514,2.4403470715835143,0.022234273318872018,2.2234273318872018,0.0292064876868779,2.92064876868779,NHS Grampian
2021,10,327,290,14827,100868,0.14699409128762342,0.022054360288662575,2.2054360288662576,0.019558912794226748,1.9558912794226748,0.0292064876868779,2.92064876868779,NHS Grampian
