school_ages,month_year,total_prescriptions,people,year,population,pop_rate,pop_rate_100,pop_rate_1000,proportion
Upper Primary (8-11),2016-08-01,763,437,2016,24864,0.030686936936936936,3.0686936936936937,30.686936936936934,0.017575611325611324
Upper Primary (8-11),2016-09-01,763,443,2016,24864,0.030686936936936936,3.0686936936936937,30.686936936936934,0.01781692406692407
Upper Primary (8-11),2016-10-01,658,427,2016,24864,0.026463963963963964,2.6463963963963963,26.463963963963963,0.017173423423423425
Upper Primary (8-11),2016-11-01,862,463,2016,24864,0.034668597168597166,3.466859716859717,34.66859716859717,0.01862129987129987
Upper Primary (8-11),2016-12-01,769,451,2016,24864,0.030928249678249677,3.0928249678249675,30.928249678249678,0.01813867438867439
Upper Primary (8-11),2017-01-01,768,445,2017,25675,0.02991236611489776,2.991236611489776,29.91236611489776,0.017332035053554042
Upper Primary (8-11),2017-02-01,726,437,2017,25675,0.02827653359298929,2.827653359298929,28.27653359298929,0.017020447906523857
Upper Primary (8-11),2017-03-01,850,486,2017,25675,0.033106134371957155,3.3106134371957157,33.106134371957154,0.01892891918208374
Upper Primary (8-11),2017-04-01,716,432,2017,25675,0.02788704965920156,2.788704965920156,27.88704965920156,0.01682570593962999
Upper Primary (8-11),2017-05-01,873,507,2017,25675,0.034001947419668936,3.4001947419668936,34.00194741966894,0.019746835443037975
Upper Primary (8-11),2017-06-01,837,463,2017,25675,0.032599805258033104,3.2599805258033103,32.59980525803311,0.018033106134371958
Upper Primary (8-11),2017-07-01,709,417,2017,25675,0.027614410905550148,2.7614410905550146,27.614410905550148,0.016241480038948392
Upper Primary (8-11),2017-08-01,883,495,2017,25675,0.03439143135345667,3.4391431353456667,34.39143135345667,0.019279454722492696
Upper Primary (8-11),2017-09-01,780,467,2017,25675,0.030379746835443037,3.0379746835443036,30.379746835443036,0.01818889970788705
Upper Primary (8-11),2017-10-01,817,477,2017,25675,0.03182083739045764,3.182083739045764,31.820837390457644,0.01857838364167478
